objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
ZTF25abijzcu,22.11873773125,-13.567714875,0.1,Transient_0,0,decals,dr9,2.496309995651245,0.0,0.015856523314097218,{},9906616370726330,nan,0.984143476627064,22.11867973042096,-13.567850702309052,0.411782,0.205891,PHOT,133330.9045052933,-19.20183553275399,1.1278558,r,37.405646102880766,0.5365583261810848,0.09637394207192868,nan,7895.655582286764,1.3876512776930954,0.3125991028130626,0.984143476627064,0.015856523372935853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaimwud,190.45260488333335,63.018388116666664,0.115,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aakfccf,136.74399415714285,17.354840728571425,nan,Transient_0,0,decals,dr9,2.1191790103912354,0.0,2.5084330920915437e-06,{},9906627873278049,nan,0.9999965074379953,136.74399310751534,17.35479015743514,0.312922,0.100426,PHOT,19914.487275847456,-19.724546337537276,1.0668362500000002,r,7.558830452874392,0.20854643600549008,0.08920564584077789,nan,4679.880692817307,0.38713682637083435,0.16806065423540187,0.9999965074379953,3.492562004815308e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aadosgv,95.42054275,4.764511675,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abqiaaj,250.91262595000003,27.02397712857143,0.2125,Transient_0,0,panstarrs,dr2,2.6251060962677,7.885142913443066e-15,7.885142913443066e-15,{},140422509134498611,nan,0.9999999999999764,250.913446437786,27.023365064718245,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,3.433248309320193,0.0923724212177823,nan,0.9999999999999764,1.634926972954796,0.09107253341742866,0.9999999999999764,2.3655428740329198e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aancolq,269.53566334285716,11.603564928571428,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaumgrp,239.3043637190476,22.745987190476193,nan,Transient_0,0,decals,dr9,1.8416008949279785,0.0,0.0001352395326086061,{},9906629852004827,nan,0.9998631089846202,239.30457440412073,22.74581107548309,0.541395,0.146838,PHOT,463214.10529024666,-20.439396470672627,1.1014782,r,338.8229228694351,0.9523175081502289,0.09701466253933683,nan,2090.1452046640006,3.602543333501959,0.42498957066468035,0.9998631089846202,0.00013689101537975922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aahtwad,210.91702986666664,79.79201399047618,nan,Transient_0,0,panstarrs,dr2,6.087600231170654,6.663233783955713e-16,6.663233783955713e-16,{},203752109173751203,nan,0.999999999999998,210.91698930013635,79.79203259500069,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.1084852167803964,0.06752153461098001,nan,0.999999999999998,0.05316711137498462,0.032040192441804644,0.999999999999998,1.998970135186714e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24absvdpn,138.58309823333337,14.878722514285714,0.04,Transient_0,0,decals,dr9,2.042053699493408,0.0,0.044563469551465895,{},9906627056702252,nan,0.9554365302085887,138.5831621467953,14.878515264684715,0.474923,0.2374615,PHOT,274279.00091024523,-19.49102441391795,1.1318172499999999,r,245.8163932473088,0.7831938361854138,0.10035471395589744,nan,11869.205518355342,2.3740686512586042,0.3316097035285906,0.9554365302085887,0.04456346979141135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaeklor,238.741181025,-10.07832595,nan,Transient_0,0,panstarrs,dr2,4.1933088302612305,9.870664942775034e-15,9.870664942775034e-15,{},95902387421376393,nan,0.9999999999999704,238.7421047988196,-10.078270424438951,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,3.2806960920054506,0.09652627996998618,nan,0.9999999999999704,1.8324552929816862,0.12010578030711568,0.9999999999999704,2.9611994828325105e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
